"","site","year_mo","year","plotID","easting","northing","latitude","longitude","Dominant_NLCD_Classes","NLCD_Classes_Abb","shannon_exotic","evenness_exotic","nspp_exotic","shannon_notexotic","evenness_notexotic","nspp_notexotic","shannon_native","evenness_native","nspp_native","shannon_unknown","evenness_unknown","nspp_unknown","rel_cover_native","rel_cover_unknown","rel_cover_exotic","cover_native","cover_unknown","cover_exotic","rel_cover_notexotic","cover_notexotic","shannon_total","evenness_total","nspp_total","shannon_family","evenness_family","nfamilies","scale","invaded","turnover","nestedness","mean.max.canopy.ht.aop","max.canopy.ht.aop","rumple.aop","deepgap.fraction.aop","cover.fraction.aop","top.rugosity.aop","vert.sd.aop","vertCV.aop","sd.sd.aop","entropy.aop","GFP.AOP.aop","VAI.AOP.aop","VCI.AOP.aop","q25.aop","q50.aop","ID2","system.index","easting","first","northing","plotID","site","year","year_mo",".geo","p_IDn","plotID","pointID","country","state","county","domain","domainID","siteName","siteID","plotType","subtype","subSpec","plotSize","plotDim","latitude","longitude","datum","utmZone","easting","northing","horzUncert","elevation","vertUncert","minElev","maxElev","slope","aspect","nlcdClass","soilOrder","coordSrc","date","gpsLogs","plotPdop","plotHdop","appMods","plotEdge","p_IDn","ID2"
"17","ABBY","2017-06",2017,"ABBY_018",547684.017,5068068.109,45.764526,-122.38678,"Evergreen Forest, Grassland/Herbaceous, Shrub/Scrub","EGHSS",1.872234301,0.133731021,14,2.353749374,0.061940773,38,2.114840581,0.078327429,27,1.802663446,0.180266345,10,0.674675637,0.047573282,0.277751081,29.25,2.0625,12.04166667,0.723047437,31.4375,2.810444586,0.054047011,52,1.973920474,0.085822629,23,"plot","invaded",0.718266254,0.110681115,0.154766917,1.667,1.024127723,0.095238095,0.904761905,0.170753895,0.436847467,1.490331429,NA,0.056243362,0.961538462,0,0.056243362,0.06,0.22,"2017ABBY_018547684.017","00000000000000000000",547684.017,71,5068068.109,"ABBY_018","ABBY",2017,"2017-06","{""type"":""Point"",""coordinates"":[-122.38677949081708,45.764525535997294]}","ABBY_018547684.0175068068.109","ABBY_018","41","unitedStates","WA","Clark","Pacific Northwest","D16","Abby Road NEON","ABBY","distributed","basePlot",NA,1600,"40m x 40m",45.764526,-122.38678,"WGS84","10N",547684.017,5068068.109,0.1,459.48,0.1,456.63,468,6.28,0,"grasslandHerbaceous","Ultisols","Geo 7X (H-Star)",20160524,301,1.9,1,"brd|cdw|cfc|dhp|div|hbp|vst",40,"ABBY_018547684.0175068068.109","2017ABBY_018547684.017"
"9","ABBY","2017-06",2017,"ABBY_010",548516.969,5069410.372,45.776549,-122.375934,"Evergreen Forest, Grassland/Herbaceous, Shrub/Scrub","EGHSS",0.286835983,0.143417992,2,1.692170748,0.043388994,39,1.610959949,0.05196645,31,1.776471963,0.222058995,8,0.97737983,0.015080113,0.007540057,64.8125,1,0.5,0.992459943,65.8125,1.725938222,0.042096054,41,1.509250638,0.060370026,25,"plot","invaded",0.633928571,0.13443301,32.04189086,39.83,2.361047056,0.106575964,0.893424036,2.700166722,8.974701312,0.326443932,3.111383917,0.649331927,0.941449263,5.095891519,0.649331927,26.5,29.65,"2017ABBY_010548516.969","00000000000000000001",548516.969,42,5069410.372,"ABBY_010","ABBY",2017,"2017-06","{""type"":""Point"",""coordinates"":[-122.37593495705507,45.776547272437384]}","ABBY_010548516.9695069410.372","ABBY_010","41","unitedStates","WA","Clark","Pacific Northwest","D16","Abby Road NEON","ABBY","distributed","basePlot",NA,1600,"40m x 40m",45.776549,-122.375934,"WGS84","10N",548516.969,5069410.372,0.17,552.63,0.25,552.07,561.09,3.43,135,"evergreenForest","Inceptisols","Geo 7X (H-Star)",20160608,611,6.7,2.8,"bet|brd|cdw|cfc|dhp|div|hbp|vst",40,"ABBY_010548516.9695069410.372","2017ABBY_010548516.969"
"6","ABBY","2017-06",2017,"ABBY_007",549684.252,5068573.756,45.768936,-122.361007,"Evergreen Forest, Grassland/Herbaceous, Shrub/Scrub","EGHSS",1.391073849,0.154563761,9,2.612823346,0.070616847,37,2.440228814,0.090378845,27,2.223024154,0.222302415,10,0.819235226,0.038238702,0.142526072,14.72916667,0.6875,2.5625,0.857473928,15.41666667,2.848214861,0.061917714,46,2.337694918,0.10625886,22,"plot","invaded",0.701195219,0.123160753,0.154201531,2.398,1.012186908,0.111111111,0.888888889,0.155090528,0.31289267,1.668266604,NA,0.015818108,0.993506494,0,0.015818108,0.0425,0.14,"2017ABBY_007549684.252","00000000000000000002",549684.252,42,5068573.756,"ABBY_007","ABBY",2017,"2017-06","{""type"":""Point"",""coordinates"":[-122.36100588672811,45.76893558693915]}","ABBY_007549684.2525068573.756","ABBY_007","41","unitedStates","WA","Clark","Pacific Northwest","D16","Abby Road NEON","ABBY","distributed","basePlot",NA,1600,"40m x 40m",45.768936,-122.361007,"WGS84","10N",549684.252,5068573.756,0.23,444.48,0.26,437.62,454.29,9.65,225,"evergreenForest","Inceptisols","Geo 7X (H-Star)",20160518,747,6.7,5.7,"bet|brd|cdw|cfc|dhp|div|hbp|vst",40,"ABBY_007549684.2525068573.756","2017ABBY_007549684.252"
"10","ABBY","2017-06",2017,"ABBY_011",549863.536,5065733.54,45.743361,-122.358994,"Evergreen Forest, Grassland/Herbaceous, Shrub/Scrub","EGHSS",1.868051755,0.15567098,12,2.574420309,0.055965659,46,2.363474035,0.063877677,37,1.292735616,0.143637291,9,0.720187793,0.074647887,0.205164319,31.95833333,3.3125,9.104166667,0.794835681,35.27083333,2.936977562,0.050637544,58,2.014100278,0.080564011,25,"plot","invaded",0.736462094,0.052249918,0.176684783,1.559,1.019927753,0.16553288,0.83446712,0.157142531,0.415527942,0.845858407,NA,0.100334826,0.95,0,0.100334826,0.2075,0.385,"2017ABBY_011549863.536","00000000000000000003",549863.536,71,5065733.54,"ABBY_011","ABBY",2017,"2017-06","{""type"":""Point"",""coordinates"":[-122.35899483215304,45.74336264239764]}","ABBY_011549863.5365065733.54","ABBY_011","41","unitedStates","WA","Clark","Pacific Northwest","D16","Abby Road NEON","ABBY","distributed","basePlot",NA,1600,"40m x 40m",45.743361,-122.358994,"WGS84","10N",549863.536,5065733.54,0.1,497.02,0.1,488.99,503.7,11.53,225,"grasslandHerbaceous","Inceptisols","Geo 7X (H-Star)",20160518,206,1.5,0.7,"bet|brd|cdw|cfc|dhp|div|hbp|vst",40,"ABBY_011549863.5365065733.54","2017ABBY_011549863.536"
"7","ABBY","2017-06",2017,"ABBY_008",550131.807,5068846.389,45.771358,-122.355223,"Evergreen Forest, Grassland/Herbaceous, Shrub/Scrub","EGHSS",0.348832096,0.174416048,2,1.72326073,0.050684139,34,1.689969287,0.060356046,28,1.452838513,0.242139752,6,0.990559966,0.005578202,0.003861832,96.1875,0.541666667,0.375,0.996138168,96.72916667,1.743265992,0.048424055,36,1.50266577,0.079087672,19,"plot","invaded",0.735177866,0.045867886,39.20143117,48.806,3.022436303,0.126984127,0.873015873,4.647342931,10.01119449,0.303222621,4.355633895,0.754958299,0.936933535,6.510486938,0.754958299,30.38,35.07,"2017ABBY_008550131.807","00000000000000000004",550131.807,71,5068846.389,"ABBY_008","ABBY",2017,"2017-06","{""type"":""Point"",""coordinates"":[-122.3552224326618,45.771356878811176]}","ABBY_008550131.8075068846.389","ABBY_008","41","unitedStates","WA","Clark","Pacific Northwest","D16","Abby Road NEON","ABBY","distributed","basePlot",NA,1600,"40m x 40m",45.771358,-122.355223,"WGS84","10N",550131.807,5068846.389,0.21,352.64,0.36,347.65,359.4,9.09,45,"evergreenForest","Inceptisols","Geo 7X (H-Star)",20160519,351,4,1.8,"bet|brd|cdw|cfc|dhp|div|hbp|vst",40,"ABBY_008550131.8075068846.389","2017ABBY_008550131.807"
"NA.68","ABBY","2018-06",2018,"ABBY_005",547473.873,5068783.296,45.770977,-122.389412,"Evergreen Forest, Grassland/Herbaceous, Shrub/Scrub","EGHSS",2.041662268,0.127603892,16,2.669884963,0.037604014,71,2.4895531,0.040812346,61,1.195600255,0.119560026,10,0.818118949,0.07555325,0.106327801,98.58333333,9.104166667,12.8125,0.893672199,107.6875,2.94185559,0.033814432,87,2.280162422,0.063337845,36,"plot","invaded",0.814569536,0.031160491,2.190117347,5.458,1.428994919,0.111111111,0.888888889,1.016479898,1.02596713,0.730976513,0.47572977,0.294187668,0.902662217,1.121581108,0.294187668,0.586,1.245,"2018ABBY_005547473.873","00000000000000000000",547473.873,52,5068783.296,"ABBY_005","ABBY",2018,"2018-06","{""type"":""Point"",""coordinates"":[-122.38941036043857,45.77097785522163]}","ABBY_005547473.8735068783.296",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018ABBY_005547473.873"
"25","ABBY","2018-06",2018,"ABBY_026",547622.116,5068694.906,45.770172,-122.387515,"Evergreen Forest, Grassland/Herbaceous, Shrub/Scrub","EGHSS",0.983593347,0.10928815,9,1.887959894,0.09936631,19,1.728298816,0.108018676,16,0.625219525,0.208406508,3,0.795698925,0.050179211,0.154121864,69.375,4.375,13.4375,0.845878136,73.75,2.178369983,0.077798928,28,1.830904071,0.122060271,15,"plot","invaded",0.803827751,0.068843056,3.772498741,6.601,1.564286985,0.099773243,0.900226757,1.241931921,1.42500495,0.590390136,0.50724161,0.390102051,0.85143542,2.580883638,0.390102051,1.301,2.2435,"2018ABBY_026547622.116","00000000000000000001",547622.116,52,5068694.906,"ABBY_026","ABBY",2018,"2018-06","{""type"":""Point"",""coordinates"":[-122.38751524249088,45.770170757930956]}","ABBY_026547622.1165068694.906","ABBY_026","41","unitedStates","WA","Clark","Pacific Northwest","D16","Abby Road NEON","ABBY","distributed","basePlot",NA,1600,"40m x 40m",45.770172,-122.387515,"WGS84","10N",547622.116,5068694.906,0.1,484.63,0.1,479.54,491.65,24.23,45,"shrubScrub","Ultisols","Geo 7X (H-Star)",20160602,366,1.5,0.8,"div",40,"ABBY_026547622.1165068694.906","2018ABBY_026547622.116"
"17.1","ABBY","2018-06",2018,"ABBY_018",547684.017,5068068.109,45.764526,-122.38678,"Evergreen Forest, Grassland/Herbaceous, Shrub/Scrub","EGHSS",1.341588443,0.08943923,15,2.316337835,0.062603725,37,2.206771408,0.068961606,32,1.590015579,0.318003116,5,0.501281582,0.014280483,0.484437935,28.52083333,0.8125,27.5625,0.515562065,29.33333333,2.536794999,0.048784519,52,1.646238316,0.074829014,22,"plot","invaded",0.781818182,0.053516295,1.351888325,3.63,1.172970227,0.106575964,0.893424036,0.69305477,0.726479633,0.693406518,0.28584936,0.225738102,0.930387744,0.614969399,0.225738102,0.489,0.9,"2018ABBY_018547684.017","00000000000000000002",547684.017,71,5068068.109,"ABBY_018","ABBY",2018,"2018-06","{""type"":""Point"",""coordinates"":[-122.38677949081708,45.764525535997294]}","ABBY_018547684.0175068068.109","ABBY_018","41","unitedStates","WA","Clark","Pacific Northwest","D16","Abby Road NEON","ABBY","distributed","basePlot",NA,1600,"40m x 40m",45.764526,-122.38678,"WGS84","10N",547684.017,5068068.109,0.1,459.48,0.1,456.63,468,6.28,0,"grasslandHerbaceous","Ultisols","Geo 7X (H-Star)",20160524,301,1.9,1,"brd|cdw|cfc|dhp|div|hbp|vst",40,"ABBY_018547684.0175068068.109","2018ABBY_018547684.017"
"11","ABBY","2018-06",2018,"ABBY_012",547890.374,5066929.326,45.754263,-122.384239,"Evergreen Forest, Grassland/Herbaceous, Shrub/Scrub","EGHSS",1.93801321,0.161501101,12,2.101625879,0.091375038,23,1.946335151,0.097316758,20,0.162538988,0.054179663,3,0.737509913,0.124504362,0.137985726,58.125,9.8125,10.875,0.862014274,67.9375,2.480339742,0.07086685,35,2.087072329,0.130442021,16,"plot","invaded",0.846473029,0.058897815,1.392259067,3.976,1.236872395,0.124716553,0.875283447,0.576016906,0.645410384,0.705687451,0.14152787,0.199058372,0.954273586,0.392096816,0.199058372,0.4415,0.755,"2018ABBY_012547890.374","00000000000000000003",547890.374,42,5066929.326,"ABBY_012","ABBY",2018,"2018-06","{""type"":""Point"",""coordinates"":[-122.38423780321658,45.754265144473315]}","ABBY_012547890.3745066929.326","ABBY_012","41","unitedStates","WA","Clark","Pacific Northwest","D16","Abby Road NEON","ABBY","distributed","basePlot",NA,1600,"40m x 40m",45.754263,-122.384239,"WGS84","10N",547890.374,5066929.326,0.1,438.99,0.1,434.73,441.62,2.98,45,"shrubScrub","Ultisols","Geo 7X (H-Star)",20160520,180,1.8,1.1,"brd|cdw|cfc|dhp|div|hbp|vst",40,"ABBY_012547890.3745066929.326","2018ABBY_012547890.374"
"22","ABBY","2018-06",2018,"ABBY_023",548099.384,5065856.144,45.744589,-122.381659,"Evergreen Forest, Grassland/Herbaceous, Shrub/Scrub","EGHSS",1.847829982,0.205314442,9,2.579356557,0.056072969,46,2.447137942,0.064398367,38,1.619481591,0.231354513,7,0.949318569,0.034923339,0.015758092,46.4375,1.708333333,0.770833333,0.984268707,48.22916667,2.648773554,0.048159519,55,2.345109915,0.075648707,31,"plot","invaded",0.754601227,0.082133467,9.464534351,13.34,1.573077853,0.108843537,0.891156463,1.243778068,2.473650644,0.363257734,0.793976597,0.515754608,0.794370244,6.470584124,0.515754608,5.51925,7.136,"2018ABBY_023548099.384","00000000000000000004",548099.384,42,5065856.144,"ABBY_023","ABBY",2018,"2018-06","{""type"":""Point"",""coordinates"":[-122.38166044280769,45.744588895187334]}","ABBY_023548099.3845065856.144","ABBY_023","41","unitedStates","WA","Clark","Pacific Northwest","D16","Abby Road NEON","ABBY","distributed","basePlot",NA,1600,"40m x 40m",45.744589,-122.381659,"WGS84","10N",548099.384,5065856.144,0.13,507.54,0.17,502.47,511.15,2.81,180,"mixedForest","Ultisols","Geo 7X (H-Star)",20160519,313,3.6,2,"bgc|brd|cdw|cfc|dhp|div|hbp|sme|vst",40,"ABBY_023548099.3845065856.144","2018ABBY_023548099.384"
